,Student index,Log File,Grade,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
17,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,266,223,554,806,417,174,77
18,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,293,186,1454,553,610,96,275
19,3.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,C,470,284,453,830,400,162,236
20,5.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,B,236,256,838,359,189,148,287
21,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,156,110,724,377,239,632,168
22,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,266,223,554,806,417,174,77
23,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,293,186,1454,553,610,96,275
24,3.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,C,470,284,453,830,400,162,236
25,5.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,B,236,256,838,359,189,148,287
26,8.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,A,324,367,320,786,335,232,560
27,12.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,C,754,1455,1167,1354,871,298,527
28,16.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,A,239,410,1137,510,126,264,299
29,18.0,ENlogs_LTAT.03.001_20210207-0938_FKM_01EN.csv,C,531,623,1346,894,392,140,614
30,19.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,A,279,210,640,751,325,117,316
31,20.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,224,307,367,481,199,133,308
32,23.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,A,354,368,696,615,643,458,788
33,24.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,452,109,132,561,304,117,376
34,26.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,D,205,340,704,650,230,144,79
35,27.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,A,282,92,641,699,317,84,27
36,28.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,A,164,714,1209,372,151,166,418
37,30.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,B,379,727,688,475,242,406,714
38,34.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,A,366,612,413,640,292,80,246
39,38.0,ENlogs_LTAT.03.001_20210207-0937_AT_02_veebirühmEN.csv,E,199,455,1119,382,44,185,72
40,39.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,A,366,588,804,593,224,216,298
41,40.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,C,443,34,910,1071,361,157,146
42,41.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,A,146,63,852,500,131,122,236
43,47.0,ENlogs_LTAT.03.001_20210207-0938_FKM_01EN.csv,A,419,249,725,775,272,91,210
44,48.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,A,245,354,770,701,254,176,245
45,50.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,A,425,320,263,681,315,194,403
46,51.0,ENlogs_LTAT.03.001_20210207-0942_Inf_03EN.csv,A,446,160,1600,937,518,210,244
47,52.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,B,479,221,900,1031,479,49,157
48,58.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,A,412,110,594,634,321,64,391
49,59.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,B,374,107,380,629,401,137,478
50,60.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,A,323,89,699,535,264,12,247
51,63.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,B,182,470,628,434,343,171,274
52,65.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,A,307,395,292,417,343,95,338
53,67.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,A,364,345,226,507,232,72,269
54,69.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,A,252,411,889,427,144,78,99
55,70.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,A,251,126,717,437,325,133,141
56,72.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,B,195,128,981,326,119,147,177
57,73.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,B,476,181,332,1082,354,109,230
58,75.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,A,327,170,842,402,285,152,290
59,77.0,ENlogs_LTAT.03.001_20210207-0938_FKM_01EN.csv,B,514,564,410,634,287,143,538
60,78.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,E,400,452,1049,1527,685,198,192
61,82.0,ENlogs_LTAT.03.001_20210207-0938_FKM_01EN.csv,C,394,38,362,704,172,105,260
62,83.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,D,345,211,546,888,428,188,432
63,86.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,B,179,650,621,388,192,43,511
64,91.0,ENlogs_LTAT.03.001_20210207-0945_Inf_08EN.csv,B,494,476,590,381,282,376,404
65,93.0,ENlogs_LTAT.03.001_20210207-0937_AT_02_veebirühmEN.csv,A,183,275,713,467,96,185,317
66,95.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,A,410,779,369,476,240,218,345
67,100.0,ENlogs_LTAT.03.001_20210207-0945_Inf_08EN.csv,D,341,566,887,607,275,119,612
68,102.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,A,271,400,944,658,434,177,384
69,104.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,A,229,157,347,751,421,69,601
70,108.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,A,413,61,165,998,599,580,714
71,113.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,A,349,196,336,653,237,171,441
72,115.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,D,270,298,265,687,284,258,392
73,117.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,B,548,535,800,815,566,289,601
74,118.0,ENlogs_LTAT.03.001_20210207-0942_Inf_03EN.csv,B,288,342,640,244,150,79,269
75,123.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,A,281,348,476,624,155,159,97
76,124.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,193,163,509,642,208,152,166
